"","datasetid","siteid","sitename","chroncontrolid","type","age","depth","limityounger","limitolder","error","cc"
"1",2617,2527,"Sutherland Pond",6878,"Core top",0,0,0,-20,10,0
"2",2617,2527,"Sutherland Pond",6880,"Radiocarbon",2020,202.5,1960,2100,70,1
"3",2617,2527,"Sutherland Pond",6881,"Radiocarbon",2640,297.5,2540,2740,100,1
"4",2617,2527,"Sutherland Pond",6882,"Radiocarbon",3980,400,3860,4100,120,1
"5",2617,2527,"Sutherland Pond",6883,"Radiocarbon",4650,500,4550,4750,100,1
"6",2617,2527,"Sutherland Pond",6884,"Radiocarbon",5860,597.5,5760,5960,100,1
"7",2617,2527,"Sutherland Pond",6885,"Radiocarbon",9540,770,9420,9660,120,1
"8",2617,2527,"Sutherland Pond",6886,"Radiocarbon",9630,787.5,9490,9770,140,1
"9",2617,2527,"Sutherland Pond",6887,"Radiocarbon",10120,795,10000,10240,120,1
"10",2617,2527,"Sutherland Pond",6888,"Radiocarbon",11200,812.5,11080,11320,120,1
"11",2617,2527,"Sutherland Pond",6889,"Radiocarbon",12600,832.5,11840,13360,760,1
