"","datasetid","siteid","sitename","chroncontrolid","type","age","depth","limityounger","limitolder","error","cc"
"1",971,941,"Gould Pond",2638,"Core top",-30,740,-30,0,15,0
"2",971,941,"Gould Pond",2640,"Radiocarbon, reservoir correction",1185,870,1165,1205,20,1
"3",971,941,"Gould Pond",2641,"Radiocarbon, reservoir correction",3165,975,3090,3240,75,1
"4",971,941,"Gould Pond",2642,"Radiocarbon, reservoir correction",4735,1068.5,4645,4825,90,1
"5",971,941,"Gould Pond",2643,"Radiocarbon, reservoir correction",6175,1210,6075,6275,100,1
"6",971,941,"Gould Pond",2644,"Radiocarbon, reservoir correction",7480,1312.5,7405,7555,75,1
"7",971,941,"Gould Pond",2645,"Radiocarbon, reservoir correction",9580,1442.5,9370,9790,210,1
"8",971,941,"Gould Pond",2646,"Radiocarbon, reservoir correction",9840,1612.5,9700,9980,140,1
"9",971,941,"Gould Pond",2647,"Radiocarbon, reservoir correction",10500,1832.5,10240,10760,260,1
"10",971,941,"Gould Pond",2648,"Radiocarbon, reservoir correction",10960,1982.5,10565,11355,395,1
"11",971,941,"Gould Pond",2649,"Radiocarbon, reservoir correction",12450,2102.5,12040,12860,410,1
